# Time, Flux
5.307576749603981625e-01 7.887210817321664038e-05
5.312378845919738524e-01 3.767216476155816113e-07
5.488992608454736910e-01 -4.369297346077961739e-05
5.496323607612225715e-01 -1.331707156363828360e-04
5.511895357179241728e-01 5.715888069697781939e-05
5.516702006498235278e-01 -2.999579608402049206e-05
5.693310222934542253e-01 1.535756281671627420e-04
5.700640389358682114e-01 -6.102037408365924696e-05
5.716214957704437438e-01 -4.538819773073933381e-05
5.721024162339745089e-01 -5.620336002147309349e-05
5.897628839823028102e-01 1.666949496721946230e-05
5.904956172116158086e-01 1.048038182567799322e-05
5.920532558287163738e-01 -2.322145659753884121e-05
5.925345318246399984e-01 3.152326043439045302e-05
6.101948460211588099e-01 -3.716494693621365106e-05
6.109273955470939654e-01 4.973429353865895274e-06
6.124851156476438518e-01 1.285145774661520886e-05
6.129668464855058119e-01 5.545260218360857787e-05
6.306266084077378764e-01 -2.267807408016633331e-04
6.313589740192924182e-01 -3.377967908028712960e-05
6.329170750089474495e-01 -4.636694688279786723e-05
6.333990611383342184e-01 -1.174702775767501510e-05
6.510585710213945276e-01 1.886652661915986880e-05
6.517907525730493035e-01 3.680706993476866453e-05
6.538311748663545586e-01 8.841842087799454432e-05
6.722224312351841036e-01 -3.844428602665673898e-05
6.737806927979477223e-01 1.084127715628877361e-04
6.742634885958977975e-01 -2.699692596434567963e-05
6.926540099911449033e-01 7.273524935387774306e-05
6.942126514534834314e-01 3.725567270814166145e-05
6.946957013860810548e-01 1.437132281020989609e-04
7.130857888504920084e-01 2.788112094483351041e-05
7.146445096498723615e-01 1.652942322151904563e-04
7.151279141835402697e-01 1.343897326672891467e-04
7.327859242880094826e-01 2.547496763610531156e-06
7.335174678109410706e-01 1.814558779220263262e-04
7.355601260496769100e-01 8.802897442779487349e-05
7.532177883051645040e-01 2.684879751195410279e-04
7.539491468659775819e-01 -1.185680131972457666e-04
7.559923379085375927e-01 -3.351554697465532049e-05
7.736497526650509826e-01 1.256728800830995084e-04
7.743808260301534574e-01 -7.197195705347960413e-05
7.759400826019486885e-01 -1.416765658013687868e-04
7.764245488433516584e-01 -1.400179562465577788e-04
7.940815172635211638e-01 3.629121308545588619e-04
7.948125052743648666e-01 4.032416136042192713e-05
7.963718398662535947e-01 7.123200034216379563e-05
7.968567597781657241e-01 -1.018637487082809848e-04
8.145134822054842516e-01 2.285569615003311072e-04
8.152442846284770894e-01 3.560335129667001477e-05
8.168037966591441545e-01 -8.847334343113379661e-05
8.172889702400425449e-01 2.072669320237173292e-05
8.349453473867924913e-01 1.556529565434592951e-05
8.356758641265855658e-01 -2.867199504979325354e-04
8.372356532257185791e-01 -1.228828998659894423e-04
8.377212797786341980e-01 1.899174634125309013e-04
8.576674095514249530e-01 -1.464066082907225009e-04
8.581533893157029524e-01 8.135444635476203075e-06
8.758090786734555877e-01 3.058054482580505550e-04
8.780993654202688958e-01 -1.872278234062276837e-04
8.785855979149346240e-01 -7.243954070105831065e-05
8.962409446696710802e-01 1.723026288881932488e-04
8.969710031114459525e-01 -3.585399101617171700e-05
8.985312210555207457e-01 -6.684271602023807689e-05
8.990179065222037025e-01 9.762928361718968019e-05
9.166728110151325382e-01 7.974276151574953033e-05
9.174025829806282673e-01 -1.729806008405168128e-04
9.189631764514274437e-01 -6.794901701216462229e-05
9.194500146622885950e-01 1.892888482015351258e-04
9.371046777025640040e-01 -6.462070185535042342e-05
9.378343629459209296e-01 1.608852982677964701e-05
9.393949316202565569e-01 -1.911233964003002995e-04
9.398822223301976919e-01 1.457565522679669045e-04
9.575365446301020711e-01 -1.084998281260354439e-04
9.582660430268674645e-01 -2.676846953446078618e-05
9.598267863241858322e-01 -1.994608456557358579e-04
9.603145290748216212e-01 -5.434548298692300070e-05
9.779685119076475530e-01 2.222316752195805322e-04
9.786976232234678719e-01 -3.821327423718125080e-05
9.802587410216005992e-01 -1.215281470971520309e-05
9.807466358179226518e-01 1.467750528604980730e-04
9.984002794092248223e-01 -1.173484740946531183e-04
9.991294034870747964e-01 -3.714605178055131594e-05
1.000690495259107138e+00 6.819754854055480066e-05
1.001178842088847887e+00 -4.139840884380153872e-05
1.018832147151670142e+00 7.862779209895618706e-05
1.019561083873611551e+00 -1.374340172969913868e-05
1.021122349264544482e+00 1.005851171838577170e-05
1.021611147436487954e+00 2.158811837775385044e-04
1.039264115360538199e+00 -2.325919796817679298e-04
1.039992864340945289e+00 -8.354885597254304273e-05
1.041554302797806031e+00 6.991696714528778162e-07
1.042043252782605123e+00 2.389386275924607560e-04
1.059695983561368848e+00 -6.256370284622471943e-05
1.060424444944999323e+00 1.169557326604041077e-05
1.061986056336820639e+00 -1.910915364115607832e-05
1.062475457656546496e+00 -1.115086793785194011e-04
1.080127752467205937e+00 -4.100561753276911323e-05
1.080856125651678212e+00 4.591187228660230526e-05
1.082417909410935408e+00 1.825809606696591147e-04
1.082907762072863989e+00 -6.144079337450329382e-06
1.100559721374565925e+00 4.186039909211379675e-05
1.102849862245705026e+00 1.607706842347731368e-04
1.103339866021997295e+00 7.320778736957563348e-06
1.120991590506719149e+00 -1.108948361660369223e-04
1.123281714854158508e+00 1.995327773038510998e-04
1.123772169499716256e+00 -9.938171395699770515e-05
1.141423460111809618e+00 5.603532631278084077e-05
1.142151168361067448e+00 1.552798977652756151e-04
1.143713466996189254e+00 1.242658441795327861e-04
1.144204372518288437e+00 -1.518181969998702086e-04
1.162582949454133541e+00 9.169988645947844432e-05
1.164145419132466941e+00 8.875730109899036293e-05
1.164636575063923374e+00 8.614946101488916454e-05
1.183014530669368014e+00 2.432378633685114921e-04
1.184577170808836399e+00 -4.174173676302587699e-06
1.185068776685511693e+00 -5.717175513967910481e-05
1.202719170550381023e+00 -3.041101373208290382e-04
1.203446312002540708e+00 5.451407852104493836e-05
1.205009022253136663e+00 5.802931661520992359e-05
1.205500978307100013e+00 -3.748508788263295164e-05
1.223150941318863261e+00 -7.816490117977272477e-05
1.223877893428777952e+00 5.686020813829272138e-05
1.225933179463027045e+00 6.946605396636582909e-05
1.243582812313661634e+00 -9.594041164488500116e-05
1.244309574964916010e+00 2.857864863999280499e-05
1.246365380146016832e+00 -8.409830911674822361e-05
1.264014783782158702e+00 -5.765133779127041967e-05
1.264741356603678923e+00 -5.651868903537328313e-05
1.266304674716877798e+00 1.616426575734184411e-04
1.266797580836282577e+00 3.287044363427503592e-05
1.284446555249132871e+00 2.320704118385528091e-04
1.285173038336267837e+00 9.406232237970078315e-05
1.286736524989748887e+00 3.963660549573509863e-05
1.287229780587949790e+00 -4.805251554855251148e-05
1.304878427175253819e+00 -1.103056200817800395e-04
1.305604620191786580e+00 8.033475245335351146e-05
1.307168275036303839e+00 -2.977223193027535490e-05
1.307661979881231673e+00 -7.589883180651481852e-05
1.325310399342242818e+00 -8.155695921378571499e-05
1.326036402150691629e+00 9.450285242059129089e-05
1.327600224844275090e+00 -1.430104632964025927e-05
1.328094178708852269e+00 -1.773806331730023501e-04
1.345742171973370205e+00 -1.496251146444862513e-04
1.348032074425930205e+00 -7.063429323922691372e-06
1.348526377070811577e+00 -5.704762928452923452e-05
1.366174144598744533e+00 6.931585215204625640e-05
1.368463823541162583e+00 2.752337966867555804e-05
