# Time, Flux
1.976935461691995442e+03 8.893642727533003223e-01
1.976955893824349914e+03 8.901330459161659325e-01
1.976976326156232972e+03 8.899410931302782490e-01
1.976996758388122544e+03 8.900992798735442024e-01
1.977017190519080032e+03 8.903117209908268936e-01
1.977037622849566105e+03 8.910103088581605713e-01
1.977058054979592271e+03 8.904974497136186606e-01
1.977098919538708287e+03 8.973345805010698450e-01
1.977119351667337469e+03 8.976577112683494786e-01
1.977139783995495236e+03 8.980830999204630904e-01
1.977160216223193856e+03 8.984124912964349674e-01
1.977180648350891715e+03 8.982396046961678149e-01
1.977201080677652499e+03 8.985301106875888122e-01
1.977282809580523463e+03 1.006598710695037813e+00
1.977344106252901838e+03 1.006430244023598153e+00
1.977364538475943846e+03 1.006360029839642456e+00
1.977384970698512916e+03 1.006449712036751043e+00
1.977405402920623601e+03 1.006376473965745033e+00
1.977425835142734286e+03 1.006428637757629252e+00
1.977446267463907134e+03 1.006567880133928616e+00
1.977466699584620073e+03 1.006456259789413776e+00
1.977487131905334536e+03 1.006553427568795511e+00
1.977507564125109639e+03 1.006487402380304319e+00
1.977527996244425594e+03 1.006486418607658306e+00
1.977548428563743073e+03 1.006437066042259465e+00
1.977568860782121192e+03 1.006692072511609526e+00
1.977589292900040164e+03 1.006543451665177225e+00
1.977609725217960658e+03 1.006495327901945958e+00
1.977630157434941793e+03 1.006594145627985437e+00
1.977650589551929443e+03 1.006560881652245554e+00
1.977671021867987292e+03 1.006505923688487458e+00
1.977691454083571443e+03 1.006504606654808898e+00
1.977711886199162109e+03 1.006574513681729233e+00
1.977732318513822975e+03 1.006622258240892798e+00
1.977752750728475803e+03 1.006560947260292105e+00
1.977773182842203823e+03 1.006647817360781794e+00
1.977793615155933367e+03 1.006532269756882370e+00
1.977814047368723550e+03 1.006725189086777883e+00
1.977834479581521009e+03 1.006682057451995238e+00
1.977854911793387146e+03 1.006672406978210255e+00
1.977875344005246006e+03 1.006553919368105232e+00
1.977895776216180820e+03 1.006440973288579288e+00
1.977916208427115635e+03 1.006474077855908922e+00
1.977936640637577511e+03 1.006599730143146854e+00
1.977957072947116103e+03 1.006762648322941489e+00
1.977977505056653172e+03 1.006607388359855859e+00
1.977997937265252403e+03 1.006525196965820212e+00
1.978018369573859673e+03 1.006718723300666696e+00
1.978038801681999757e+03 1.006806129751288248e+00
1.978059233889667667e+03 1.006779736695697869e+00
1.978079666196412290e+03 1.006598121092751486e+00
1.978100098303155391e+03 1.006792062133102350e+00
1.978120530509426317e+03 1.006601235299632524e+00
1.978140962814773957e+03 1.006883393754788525e+00
1.978161394920120074e+03 1.006920139655718582e+00
1.978181827124994015e+03 1.006588472707286464e+00
1.978202259429410333e+03 1.006710446245194346e+00
1.978222691533359466e+03 1.006745821860291379e+00
1.978243123836837185e+03 1.006631611651188196e+00
1.978263556039855757e+03 1.006612694954458931e+00
1.978283988242401392e+03 1.006845660774706275e+00
1.978304420444022981e+03 1.006737438474536672e+00
1.978324852645644569e+03 1.006774768234873552e+00
1.978345284846800496e+03 1.006868585653211801e+00
1.978365717047483486e+03 1.006720050775944175e+00
1.978386149248173751e+03 1.006855802351694251e+00
1.978406581447925419e+03 1.006796940448122735e+00
1.978427013647218700e+03 1.006775028752766810e+00
1.978447445846046321e+03 1.006684103309279044e+00
1.978467878044408280e+03 1.006813026079328655e+00
1.978488310242297302e+03 1.006900271729326724e+00
1.978508742439727939e+03 1.006892154778371351e+00
1.978570039029684267e+03 1.005877393207098791e+00
1.978590471125251497e+03 1.005932873772883207e+00
1.978610903420812974e+03 1.006039857177339902e+00
1.978631335615449643e+03 1.005932690870875446e+00
1.978651767910079798e+03 1.006274816472849665e+00
1.978672200003784383e+03 1.005985779788424850e+00
1.978692632197024068e+03 1.005929028131997027e+00
1.978713064490257239e+03 1.006001801899903958e+00
1.978733496582564840e+03 1.006108396180773745e+00
1.978753928774873202e+03 1.005903576038497116e+00
1.978774361066709389e+03 1.006003048104736397e+00
1.978794793257620768e+03 1.006024496019072956e+00
1.978815225348531385e+03 1.006328850007049081e+00
1.978835657638504927e+03 1.006197266195512086e+00
1.978856089828484983e+03 1.006023288796209947e+00
1.978876521917998616e+03 1.006130693171130241e+00
1.978917386395158246e+03 1.006159441155332512e+00
1.978937818483274896e+03 1.006157493275052106e+00
1.978958250770920131e+03 1.006187568908558427e+00
1.978978682958106219e+03 1.006056288947550392e+00
1.978999115044825885e+03 1.006165606049367778e+00
1.979019547331074136e+03 1.006128911834352602e+00
1.979060411602185923e+03 1.006063664370954847e+00
1.979080843887037190e+03 1.005972161681072841e+00
1.979101276071429311e+03 1.005953892885557366e+00
1.979121708355356532e+03 1.006073255675679290e+00
1.979142140439274954e+03 1.006062314794293089e+00
1.979162572622270091e+03 1.005911223465553839e+00
1.979183004804799566e+03 1.006124051966156951e+00
1.979203436986856104e+03 1.006161370936841548e+00
1.979223869168919919e+03 1.006039528963080132e+00
1.979244301350052410e+03 1.005948520160827586e+00
1.979264733531177626e+03 1.005919571001818946e+00
1.979285165711378795e+03 1.005980270800828968e+00
1.979305597891579964e+03 1.006022634804063731e+00
1.979326030070842535e+03 1.006081515328486775e+00
1.979346462250112381e+03 1.005987031040030066e+00
1.979366894528451667e+03 1.005909250873489258e+00
1.979387326606782153e+03 1.005992257930428124e+00
1.979407758784655016e+03 1.005934965921255753e+00
1.979428191061597317e+03 1.006020347223764544e+00
1.979448623138530820e+03 1.005963033809314400e+00
1.979469055315006699e+03 1.005960141834463917e+00
1.979489487591010402e+03 1.006116607628199322e+00
1.979509919666554197e+03 1.005975347760959870e+00
1.979530351841633092e+03 1.005861643621351664e+00
1.979550784116247087e+03 1.006087908545485243e+00
1.979571216190386622e+03 1.006194756557209136e+00
1.979591648464069294e+03 1.006023788078665548e+00
1.979612080637278268e+03 1.006077678562959710e+00
1.979632512810494518e+03 1.006010678477181619e+00
1.979652944982779445e+03 1.005905109387300156e+00
1.979673377154598711e+03 1.005869887611760660e+00
1.979693809325945040e+03 1.006025464303347272e+00
1.979714241497298644e+03 1.006127294952758211e+00
1.979734673667713651e+03 1.005981884549943750e+00
1.979755105838135933e+03 1.005928223780826247e+00
1.979775538007626892e+03 1.005930294871974162e+00
1.979795970177117852e+03 1.005803694487553246e+00
1.979816402346135874e+03 1.005940358833076642e+00
1.979836834614230611e+03 1.006085139955528840e+00
1.979857266682316549e+03 1.005913063797365448e+00
1.979877698849944863e+03 1.005792080123036003e+00
1.979898131017107517e+03 1.005972707080590389e+00
1.979918563183804508e+03 1.005887456298067972e+00
1.979938995349562902e+03 1.005910411979290320e+00
1.979959427515328571e+03 1.005837064967602279e+00
1.979979859681086964e+03 1.005812016093847738e+00
1.980000291845921311e+03 1.005780275547391689e+00
1.980020724010289996e+03 1.005749195954148023e+00
1.980041156174193020e+03 1.005722039269622670e+00
1.980061588437623868e+03 1.005789529762497247e+00
1.980082020501060470e+03 1.005638969215036926e+00
1.980102452663559234e+03 1.005805866514157376e+00
1.980122884925600374e+03 1.005731494485507582e+00
1.980143316987639992e+03 1.005634111435161238e+00
1.980163749148749048e+03 1.005764172165467540e+00
1.980184181409851590e+03 1.005706067625871780e+00
1.980204613570494985e+03 1.005640969999418877e+00
1.980225045630199020e+03 1.005793489216811665e+00
1.980245477889911854e+03 1.005725607512030662e+00
1.980265910049158265e+03 1.005774872019945088e+00
1.980286342107938253e+03 1.005723548776774834e+00
1.980306774366246827e+03 1.005835482543284254e+00
1.980327206524096255e+03 1.005648402155510990e+00
1.980347638581471983e+03 1.005671531689355414e+00
1.980368070838390850e+03 1.005472397519776573e+00
1.980388502994843293e+03 1.005517919410580996e+00
1.980408935050829314e+03 1.005482902638433984e+00
1.980429367306809581e+03 1.005615727782057212e+00
1.980449799461865041e+03 1.005622122217242342e+00
1.980470231616913225e+03 1.005654976186197702e+00
1.980490663771037362e+03 1.005562730750578337e+00
1.980511095925161499e+03 1.005517732854013468e+00
1.980531528178347799e+03 1.005502860188550063e+00
1.980551960231539852e+03 1.005502509872906014e+00
1.980572392384267005e+03 1.005392631709172591e+00
1.980592824636056321e+03 1.005617407487271908e+00
1.980613256687851390e+03 1.005511301873232233e+00
1.980633688839181559e+03 1.005660927723561526e+00
1.980654121090039553e+03 1.005579947729028367e+00
1.980674553140437638e+03 1.005517945166525040e+00
1.980694985290370823e+03 1.005581804941424906e+00
1.980715417540297494e+03 1.005321886917964536e+00
1.980735849589298596e+03 1.005493654874932918e+00
1.980756281737834797e+03 1.005352296856663497e+00
1.980776713985898823e+03 1.005658785281487555e+00
1.980797146033968602e+03 1.005572642438363307e+00
1.980817578181107820e+03 1.005424178563968374e+00
1.980838010428240523e+03 1.005474361758561974e+00
1.980858442474913318e+03 1.005435809983097117e+00
1.980878874620655552e+03 1.005507752251675768e+00
1.980899306866391271e+03 1.005491863792662866e+00
1.980919738911667082e+03 1.005347786259952025e+00
1.980940171056477993e+03 1.005246672600334401e+00
1.980960603300816729e+03 1.005226679374755294e+00
1.980981035344695556e+03 1.005288066753054821e+00
1.981021899731516896e+03 1.005731663813437038e+00
1.981042331873999501e+03 1.005546450905632438e+00
1.981062764016016445e+03 1.005551742359917178e+00
1.981083196158026112e+03 1.005526425137069912e+00
1.981103628299111733e+03 1.005557913518911661e+00
1.981124060440197354e+03 1.005567806933898467e+00
1.981144492580344377e+03 1.005504528059952607e+00
1.981164924720498675e+03 1.005592705100575079e+00
1.981185356960180798e+03 1.005500957381171512e+00
1.981205788999403012e+03 1.005397144916283514e+00
1.981226221138160327e+03 1.005561407625967130e+00
1.981246653376452741e+03 1.005595446890427791e+00
1.981267085414270696e+03 1.005550330133661685e+00
1.981287517551631026e+03 1.005416394700018756e+00
1.981307949788519181e+03 1.005295334279937336e+00
1.981328381825413089e+03 1.005517746254065425e+00
1.981348813961376436e+03 1.005420413497420506e+00
1.981369246197340544e+03 1.005391343737944476e+00
1.981389678232364531e+03 1.005292390967225336e+00
1.981410110367396555e+03 1.005497370517912215e+00
1.981430542501962918e+03 1.005268825148572187e+00
1.981450974635590683e+03 1.005068305030761833e+00
1.981512271035557205e+03 1.006400711005182691e+00
1.981593999662174610e+03 1.006356314544716302e+00
1.981614431792542746e+03 1.006212118847910952e+00
1.981634863822917396e+03 1.006161419838329962e+00
1.981655296052362246e+03 1.006326993316732699e+00
1.981675728181799059e+03 1.006204925804434325e+00
