# Time, Xc, Yc
1.979162572622270091e+03 1.564902777303379366e+02 1.089041727708981398e+03
1.979183004804799566e+03 1.564971859684912943e+02 1.089044486998815046e+03
1.979203436986856104e+03 1.565046610098731321e+02 1.089054039264558696e+03
1.979223869168919919e+03 1.564949546989725206e+02 1.089040274135719301e+03
1.979244301350052410e+03 1.564829506573096012e+02 1.089033252840061323e+03
1.979264733531177626e+03 1.564844531588964855e+02 1.089042995037839773e+03
1.979285165711378795e+03 1.564788164695858654e+02 1.089034775246413119e+03
1.979305597891579964e+03 1.564789919017635214e+02 1.089028800129939555e+03
1.979326030070842535e+03 1.564736254047361399e+02 1.089024497527781477e+03
1.979346462250112381e+03 1.564819062674400243e+02 1.089038807214586768e+03
1.979366894528451667e+03 1.564903006619395001e+02 1.089051346526329098e+03
1.979387326606782153e+03 1.564878724668722327e+02 1.089040562278271182e+03
1.979407758784655016e+03 1.564912659724443813e+02 1.089045320563660880e+03
1.979428191061597317e+03 1.564925098160976518e+02 1.089045868266643538e+03
1.979448623138530820e+03 1.564931300006167874e+02 1.089041943650087887e+03
1.979469055315006699e+03 1.564983366121235804e+02 1.089045658092829399e+03
1.979489487591010402e+03 1.564901271389913120e+02 1.089035007881176398e+03
1.979509919666554197e+03 1.564965780011713719e+02 1.089052735604082272e+03
1.979530351841633092e+03 1.564979896331155942e+02 1.089049122208022709e+03
1.979550784116247087e+03 1.564977126492469210e+02 1.089033637388538182e+03
1.979571216190386622e+03 1.565070773482085542e+02 1.089041463922863613e+03
1.979591648464069294e+03 1.565121099312040087e+02 1.089050250838562761e+03
1.979612080637278268e+03 1.565012462451778106e+02 1.089045246844559642e+03
1.979632512810494518e+03 1.565019671450467342e+02 1.089034904547484530e+03
1.979652944982779445e+03 1.564977620553062252e+02 1.089037631514785971e+03
1.979673377154598711e+03 1.564875103998590191e+02 1.089038841694225994e+03
1.979693809325945040e+03 1.564919054808243004e+02 1.089036942502851844e+03
1.979714241497298644e+03 1.564933879958630598e+02 1.089037020998540356e+03
1.979734673667713651e+03 1.565014257816370105e+02 1.089043329691889312e+03
1.979755105838135933e+03 1.564823261583552494e+02 1.089040064723094247e+03
1.979775538007626892e+03 1.564794493562679349e+02 1.089041700963436142e+03
1.979795970177117852e+03 1.564869509151367595e+02 1.089039357733407769e+03
1.979816402346135874e+03 1.564819568375382346e+02 1.089041050025120057e+03
1.979836834614230611e+03 1.564806760636047329e+02 1.089036038394508068e+03
1.979857266682316549e+03 1.564883110008297251e+02 1.089057687260376952e+03
1.979877698849944863e+03 1.564822361889125943e+02 1.089043164986444935e+03
1.979898131017107517e+03 1.564620040415235849e+02 1.089033788035549151e+03
1.979918563183804508e+03 1.564714678053166494e+02 1.089035863591723228e+03
1.979938995349562902e+03 1.564718109879132442e+02 1.089042666604879741e+03
1.979959427515328571e+03 1.564702694072431370e+02 1.089040427680159837e+03
1.979979859681086964e+03 1.564736998049224610e+02 1.089046206329338929e+03
1.980000291845921311e+03 1.564690752544402130e+02 1.089037830135039940e+03
1.980020724010289996e+03 1.564720479585969031e+02 1.089051069841328399e+03
1.980041156174193020e+03 1.564562394846935263e+02 1.089037520222376543e+03
1.980061588437623868e+03 1.564558946258910908e+02 1.089040117092438777e+03
1.980082020501060470e+03 1.564569988984593749e+02 1.089038532767117658e+03
1.980102452663559234e+03 1.564501994786908199e+02 1.089034836292368254e+03
1.980122884925600374e+03 1.564566926462431127e+02 1.089043886592411354e+03
1.980143316987639992e+03 1.564581098864026103e+02 1.089040537565990689e+03
1.980163749148749048e+03 1.564635649802062574e+02 1.089037004068102533e+03
1.980184181409851590e+03 1.564597250889218287e+02 1.089046817718573493e+03
1.980204613570494985e+03 1.564608648050667625e+02 1.089043121034712613e+03
1.980225045630199020e+03 1.564622387962413654e+02 1.089046614206483355e+03
1.980245477889911854e+03 1.564498677147884678e+02 1.089038965937376361e+03
1.980265910049158265e+03 1.564458026598626361e+02 1.089044107174349165e+03
1.980286342107938253e+03 1.564563204247571946e+02 1.089044057515347731e+03
1.980306774366246827e+03 1.564496704358563761e+02 1.089029826676601715e+03
1.980327206524096255e+03 1.564495630500411494e+02 1.089043659985956083e+03
1.980347638581471983e+03 1.564495025597448148e+02 1.089043711362949352e+03
1.980368070838390850e+03 1.564496683481032733e+02 1.089048498554998787e+03
1.980388502994843293e+03 1.564436700021399815e+02 1.089043383485410004e+03
1.980408935050829314e+03 1.564271089768614615e+02 1.089042804077136452e+03
1.980429367306809581e+03 1.564290942551436103e+02 1.089042470625064880e+03
1.980449799461865041e+03 1.564243727933654213e+02 1.089036403963440080e+03
1.980470231616913225e+03 1.564302889689457459e+02 1.089039295134138001e+03
1.980490663771037362e+03 1.564340083110385535e+02 1.089038099838259996e+03
1.980511095925161499e+03 1.564268010574327548e+02 1.089041739010436459e+03
1.980531528178347799e+03 1.564348948510310606e+02 1.089046067226434843e+03
1.980551960231539852e+03 1.564276822457763103e+02 1.089040025302238064e+03
1.980572392384267005e+03 1.564258497973380884e+02 1.089041856167646301e+03
1.980592824636056321e+03 1.564227499824798713e+02 1.089038833899855945e+03
1.980613256687851390e+03 1.564229353911167664e+02 1.089039140833442161e+03
1.980633688839181559e+03 1.564287770911244309e+02 1.089047878558860020e+03
1.980654121090039553e+03 1.564225515482019659e+02 1.089043671637445186e+03
1.980674553140437638e+03 1.564244839169619752e+02 1.089039389162500584e+03
1.980694985290370823e+03 1.564179481256184374e+02 1.089035545275707818e+03
1.980715417540297494e+03 1.564103481293855111e+02 1.089040666879052196e+03
1.980735849589298596e+03 1.564163328009531710e+02 1.089036050449062941e+03
1.980756281737834797e+03 1.564114106593182214e+02 1.089043910115211247e+03
1.980776713985898823e+03 1.564171092020646370e+02 1.089038673295692888e+03
1.980797146033968602e+03 1.564051805445537866e+02 1.089042634744626184e+03
1.980817578181107820e+03 1.564154183339725250e+02 1.089045927424309411e+03
1.980838010428240523e+03 1.564121780516678939e+02 1.089043586848667019e+03
1.980858442474913318e+03 1.563904122669062815e+02 1.089034222436725031e+03
1.980878874620655552e+03 1.563910903403504449e+02 1.089040832434256799e+03
1.980899306866391271e+03 1.563932822347461808e+02 1.089040633067846329e+03
1.980919738911667082e+03 1.563897923044746960e+02 1.089039276919823124e+03
1.980940171056477993e+03 1.563840366589483892e+02 1.089048337910180862e+03
1.980960603300816729e+03 1.563925703967611582e+02 1.089040993703622235e+03
1.980981035344695556e+03 1.563864498028811738e+02 1.089042626449850559e+03
1.981021899731516896e+03 1.564436096621257946e+02 1.089034867128867972e+03
1.981042331873999501e+03 1.564345460963172059e+02 1.089037881532764459e+03
1.981062764016016445e+03 1.564330611286894452e+02 1.089036223308583203e+03
1.981083196158026112e+03 1.564379677030517826e+02 1.089038415183122424e+03
1.981103628299111733e+03 1.564422501599968598e+02 1.089048455525559802e+03
1.981124060440197354e+03 1.564362683117631150e+02 1.089045395232186820e+03
1.981144492580344377e+03 1.564369223549873880e+02 1.089048790260202168e+03
1.981164924720498675e+03 1.564338441330116041e+02 1.089047532677615209e+03
1.981185356960180798e+03 1.564296844957269457e+02 1.089040365330786244e+03
1.981205788999403012e+03 1.564246795011525535e+02 1.089047018493568430e+03
1.981226221138160327e+03 1.564188771979118542e+02 1.089046522548517714e+03
1.981246653376452741e+03 1.564168581400107598e+02 1.089036975751923364e+03
1.981267085414270696e+03 1.564179413317251601e+02 1.089037466848896884e+03
1.981287517551631026e+03 1.564195763325998882e+02 1.089049054839943665e+03
1.981307949788519181e+03 1.564115191216056360e+02 1.089051746318786627e+03
1.981328381825413089e+03 1.564164078520986152e+02 1.089049611063413749e+03
1.981348813961376436e+03 1.564047577105570497e+02 1.089040221583968787e+03
1.981369246197340544e+03 1.564001869423719882e+02 1.089046914812735849e+03
1.981389678232364531e+03 1.563996028825150404e+02 1.089042765322162495e+03
