# Time, Flux
1.977119351667337469e+03 -1.062088577641340237e-06
1.977139783995495236e+03 2.275076475408699395e-04
1.977160216223193856e+03 2.211309303072894750e-04
1.977180648350891715e+03 -1.382500666914365794e-04
1.977201080677652499e+03 7.725767836141983480e-05
1.977282809580523463e+03 -1.273671024777378591e-04
1.977344106252901838e+03 1.301800120723228815e-05
1.977364538475943846e+03 -1.103043220544996927e-04
1.977384970698512916e+03 -2.629041653512409482e-05
1.977405402920623601e+03 -1.022612130824329668e-04
1.977425835142734286e+03 -6.113788822392773881e-05
1.977446267463907134e+03 1.046270801641213666e-04
1.977466699584620073e+03 3.151379494603645526e-05
1.977487131905334536e+03 4.434178918355513588e-05
1.977507564125109639e+03 -4.223450353124658108e-05
1.977527996244425594e+03 -1.870254302938079149e-05
1.977548428563743073e+03 -5.320841798228670427e-05
1.977568860782121192e+03 1.631002571695905345e-04
1.977589292900040164e+03 5.362569695854801921e-06
1.977609725217960658e+03 -5.153174631822299290e-05
1.977630157434941793e+03 3.271741815003004206e-05
1.977650589551929443e+03 -5.126664037957695541e-06
1.977671021867987292e+03 -3.549918176959376837e-05
1.977691454083571443e+03 -6.170674570704637318e-05
1.977711886199162109e+03 2.601987474881717333e-05
1.977732318513822975e+03 4.994921649803529817e-05
1.977752750728475803e+03 -1.725041344324829140e-05
1.977773182842203823e+03 8.291503519242127140e-05
1.977793615155933367e+03 -3.250031164991895594e-05
1.977814047368723550e+03 1.382098424165256745e-04
1.977834479581521009e+03 1.288863469817158602e-04
1.977854911793387146e+03 8.252558874222160057e-05
1.977875344005246006e+03 -3.901893266022860018e-05
1.977895776216180820e+03 -1.455213419321310653e-04
1.977916208427115635e+03 -1.073671343938542577e-04
1.977936640637577511e+03 1.522330751679845662e-05
1.977957072947116103e+03 1.844140777269576148e-04
1.977977505056653172e+03 2.632058949902926770e-06
1.977997937265252403e+03 -7.794292638663158357e-05
1.978018369573859673e+03 9.212589793161640728e-05
1.978038801681999757e+03 1.837854625159618394e-04
1.978059233889667667e+03 1.402531665823936180e-04
1.978079666196412290e+03 -5.984886867249628040e-05
1.978100098303155391e+03 1.412716671749247865e-04
